,题号,模型答案,正确答案
137,15.1,B,ABD
138,15.2,A,D
139,15.3,B,B
140,15.4,D,ACD
141,15.5,B,ABCD
142,15.6,A,C
143,15.7,C,ABCD
144,15.8,B,ABCD
145,15.9,A,AC
146,15.10,A,ACD
147,16.1,A,ACD
148,16.2,B,D
149,16.3,D,AC
150,16.4,B,B
151,16.5,A,ABD
152,16.6,B,D
153,16.7,D,ABC
154,16.8,A,BD
155,16.9,A,BCD
156,16.10,B,B
157,17.1,A,ABD
158,17.2,B,B
159,17.3,A,C
160,17.4,A,D
161,17.5,A,C
162,17.6,C,B
163,17.7,B,B
164,17.8,B,B
165,17.9,C,BCD
166,18.1,B,C
167,18.2,C,BC
168,18.3,A,BD
169,18.4,A,A
170,18.5,A,A
171,18.6,A,C
172,18.7,B,C
173,18.8,ACD,ABC
174,18.9,A,A
175,18.10,A,A
176,19.1,B,B
177,19.2,B,D
178,19.3,A,ABD
179,19.4,A,无标准答案
180,19.5,A,D
181,19.6,C,B
182,19.7,A,AC
183,19.8,A,BD
184,19.9,C,D
185,19.10,B,B
186,20.1,A,BCD
187,20.2,C,D
188,20.3,B,D
189,20.4,A,C
190,20.5,D,AB
191,20.6,B,B
192,20.7,A,AB
193,20.8,B,A
194,20.9,E,D
195,20.10,C,D
196,21.1,A,ABCD
197,21.2,A,D
198,21.3,B,D
199,21.4,A,A
200,21.5,D,BD
201,22.1,A,AB
202,22.2,B,AD
203,22.3,C,C
204,22.4,A,D
205,22.5,A,C
206,22.6,C,D
207,22.7,B,C
208,22.8,ACD,ACD
209,22.9,B,B
210,22.10,B,ABC
211,23.1,A,AB
212,23.2,C,ABC
213,23.3,B,A
214,23.4,B,B
215,23.5,C,BD
216,23.6,ACD,BCD
217,23.7,B,ACD
218,23.8,E,A
219,23.9,B,BCD
220,23.10,C,C
221,24.1,B,D
222,24.2,B,B
223,24.3,B,A
224,24.4,B,A
225,24.5,B,C
226,24.6,B,B
227,24.7,A,ACD
228,24.8,D,BD
229,24.9,A,ABD
230,24.10,A,BC
231,25.1,B,BD
232,25.2,C,D
233,25.3,C,AC
234,25.4,B,D
235,25.5,A,B
236,25.6,E,ABD
237,25.7,E,ABCD
238,25.8,E,BCD
239,25.9,E,AB
240,25.10,E,B
241,26.1,E,AB
242,26.2,E,ACD
243,26.3,E,BC
244,26.4,E,B
245,26.5,E,B
246,26.6,E,B
247,26.7,E,ABCD
248,26.8,E,ABCD
249,26.9,E,CD
250,26.10,E,BC
251,27.1,C,C
252,27.2,B,BD
253,27.3,B,A
254,27.4,D,AB
255,27.5,D,ABCD
256,27.6,C,BC
257,27.7,D,ABC
258,27.8,A,ACD
259,27.9,A,ABD
260,27.10,B,B
261,28.1,B,ACD
262,28.2,A,ABC
263,28.3,A,A
264,28.4,B,ABD
265,28.5,A,B
266,28.6,A,D
267,28.7,A,A
268,28.8,C,C
269,28.9,C,C
270,28.10,D,BD
271,29.1,B,BCD
272,29.2,A,C
273,29.3,C,CD
274,29.4,A,A
275,29.5,D,C
276,29.6,A,BC
277,29.7,D,ABD
278,29.8,A,ABCD
279,29.9,ABCD,ABD
280,29.10,A,B
281,30.1,B,C
282,30.2,C,CD
283,30.3,ABC,ABD
284,30.4,B,B
285,30.5,A,C
286,30.6,C,C
287,30.7,A,CD
288,30.8,B,A
289,30.9,C,AC
290,30.10,A,AD
291,31.1,A,AC
292,31.2,C,BC
293,31.3,C,ACD
294,31.4,A,C
295,31.5,B,C
296,31.6,B,C
297,31.7,A,D
298,31.8,C,C
299,31.9,A,ABD
300,31.10,A,D
301,32.1,A,ACD
302,32.2,C,AC
303,32.3,A,C
304,32.4,B,B
305,32.5,C,D
306,32.6,BC,ABCD
307,32.7,A,AC
308,32.8,A,A
309,32.9,C,D
310,32.10,C,D
311,33.1,E,ACD
312,33.2,E,ABCD
313,33.3,E,BC
314,33.4,E,A
315,33.5,E,BCD
316,33.6,E,BC
317,33.7,E,ABC
318,33.8,E,AC
319,33.9,E,C
320,33.10,E,BC
321,34.1,E,AD
322,34.2,E,C
323,34.3,E,AC
324,34.4,E,ABC
325,34.5,E,C
326,34.6,E,D
327,34.7,E,BCD
328,34.8,E,BD
329,34.9,E,C
330,34.10,E,D
331,34.11,E,D
332,34.12,E,CD
333,35.1,C,C
334,35.2,A,B
335,35.3,C,D
336,35.4,D,ABCD
337,35.5,C,C
338,35.6,A,D
339,35.7,A,C
340,35.8,C,ABCD
341,35.9,C,D
342,36.1,C,C
343,36.2,C,A
344,36.3,B,B
345,36.4,B,ABD
346,36.5,B,D
347,36.6,B,C
348,36.7,A,C
349,36.8,B,A
350,36.9,A,AB
351,36.10,A,D
352,37.1,B,C
353,37.2,C,ABD
354,37.3,D,AC
355,37.4,A,B
356,37.5,B,C
357,37.6,B,C
358,37.7,D,ABD
359,37.8,D,AB
360,37.9,C,BC
361,37.10,A,ABC
362,38.1,B,B
363,38.2,C,C
364,38.3,C,D
365,38.4,C,C
366,38.5,D,ABC
367,38.6,A,B
368,38.7,A,D
369,38.8,C,D
370,38.9,C,C
371,39.1,C,BC
372,39.2,B,D
373,39.3,A,D
374,39.4,B,B
375,39.5,D,AC
376,39.6,C,A
377,39.7,C,C
378,39.8,A,A
379,39.9,C,BC
380,39.10,A,B
381,40.1,A,ACD
382,40.2,C,D
383,40.3,B,B
384,40.4,D,AD
385,40.5,D,AD
386,40.6,A,B
387,40.7,B,ACD
388,40.8,B,C
389,40.9,D,D
390,40.10,A,ABC
391,41.1,A,D
392,41.2,C,ABCD
393,41.3,E,A
394,41.4,E,C
395,41.5,E,C
396,41.6,E,AC
397,41.7,E,AC
398,41.8,E,A
399,41.9,E,ACD
400,41.10,E,B
401,42.1,E,AD
402,42.2,E,ABD
403,42.3,E,B
404,42.4,E,C
405,42.5,E,D
406,42.6,E,C
407,42.7,E,C
408,42.8,E,D
409,42.9,E,B
410,42.10,E,B
411,42.11,E,B
412,42.12,E,B
413,42.13,E,D
414,42.14,E,D
415,42.15,E,BCD
416,43.1,E,BCD
417,43.2,E,ACD
418,43.3,E,B
419,43.4,E,C
420,43.5,E,C
421,43.6,E,ABCD
422,43.7,E,C
423,43.8,E,D
424,43.9,E,ABD
425,43.10,E,BD
426,44.1,B,D
427,44.2,B,ABC
428,44.3,B,B
429,44.4,B,BC
430,44.5,B,ABD
431,44.6,B,D
432,44.7,A,B
433,44.8,A,BCD
434,45.1,A,BC
435,45.2,A,A
436,45.3,D,ACD
437,45.4,B,D
438,45.5,D,ABCD
439,45.6,A,C
440,45.7,B,ABC
441,45.8,A,AC
442,45.9,C,ACD
443,45.10,A,ABD
444,46.1,C,C
445,46.2,B,C
446,46.3,B,A
447,46.4,A,B
448,46.5,B,B
449,46.6,A,D
450,46.7,A,AB
451,46.8,A,D
452,46.9,A,ABC
453,46.10,C,C
454,47.1,A,ABD
455,47.2,A,C
456,47.3,C,AC
457,47.4,C,ABD
458,47.5,B,C
459,47.6,A,A
460,47.7,B,D
461,,测评最终结果,共47道大题，460道具体题目。其中，73题完全正确，134题部分正确，178题多选或错选，75题未答或漏答。严格正确率：15.869565217391305%，弹性正确率：27.355072463768092%
