,题号,模型答案,正确答案
225,24.5,B,C
226,24.6,D,B
227,24.7,AC,ACD
228,24.8,AD,BD
229,24.9,ABC,ABD
230,24.10,BCD,BC
231,25.1,BD,BD
232,25.2,C,D
233,25.3,BC,AC
234,25.4,B,D
235,25.5,C,B
236,25.6,AB,ABD
237,25.7,BC,ABCD
238,25.8,BCD,BCD
239,25.9,BC,AB
240,25.10,B,B
241,26.1,B,AB
242,26.2,D,ACD
243,26.3,BC,BC
244,26.4,B,B
245,26.5,C,B
246,26.6,B,B
247,26.7,B,ABCD
248,26.8,BCD,ABCD
249,26.9,BC,CD
250,26.10,AB,BC
251,27.1,B,C
252,27.2,BC,BD
253,27.3,B,A
254,27.4,B,AB
255,27.5,BC,ABCD
256,27.6,BC,BC
257,27.7,BC,ABC
258,27.8,AB,ACD
259,27.9,B,ABD
260,27.10,B,B
261,28.1,BC,ACD
262,28.2,CD,ABC
263,28.3,B,A
264,28.4,BCD,ABD
265,28.5,A,B
266,28.6,B,D
267,28.7,B,A
268,28.8,C,C
269,28.9,C,C
270,28.10,CD,BD
271,29.1,BC,BCD
272,29.2,C,C
273,29.3,D,CD
274,29.4,D,A
275,29.5,D,C
276,29.6,A,BC
277,29.7,ABD,ABD
278,29.8,B,ABCD
279,29.9,AC,ABD
280,29.10,B,B
281,30.1,B,C
282,30.2,BC,CD
283,30.3,BC,ABD
284,30.4,B,B
285,30.5,B,C
286,30.6,B,C
287,30.7,BC,CD
288,30.8,C,A
289,30.9,BC,AC
290,30.10,D,AD
291,31.1,D,AC
292,31.2,BC,BC
293,31.3,BD,ACD
294,31.4,B,C
295,31.5,B,C
296,31.6,B,C
297,31.7,C,D
298,31.8,C,C
299,31.9,BD,ABD
300,31.10,B,D
301,32.1,D,ACD
302,32.2,C,AC
303,32.3,B,C
304,32.4,B,B
305,32.5,B,D
306,32.6,BCD,ABCD
307,32.7,AD,AC
308,32.8,B,A
309,32.9,C,D
310,32.10,C,D
311,33.1,BCD,ACD
312,33.2,AD,ABCD
313,33.3,BD,BC
314,33.4,B,A
315,33.5,BC,BCD
316,33.6,A,BC
317,33.7,ABC,ABC
318,33.8,C,AC
319,33.9,C,C
320,33.10,A,BC
321,34.1,A,AD
322,34.2,C,C
323,34.3,BD,AC
324,34.4,B,ABC
325,34.5,D,C
326,34.6,B,D
327,34.7,BC,BCD
328,34.8,BD,BD
329,34.9,C,C
330,34.10,B,D
331,34.11,B,D
332,34.12,BD,CD
333,35.1,B,C
334,35.2,B,B
335,35.3,D,D
336,35.4,BD,ABCD
337,35.5,C,C
338,35.6,B,D
339,35.7,B,C
340,35.8,B,ABCD
341,35.9,D,D
342,36.1,C,C
343,36.2,C,A
344,36.3,C,B
345,36.4,B,ABD
346,36.5,B,D
347,36.6,B,C
348,36.7,C,C
349,36.8,B,A
350,36.9,B,AB
351,36.10,B,D
352,37.1,D,C
353,37.2,AB,ABD
354,37.3,BCD,AC
355,37.4,B,B
356,37.5,B,C
357,37.6,C,C
358,37.7,AD,ABD
359,37.8,BC,AB
360,37.9,BCC,BC
361,37.10,BC,ABC
362,38.1,B,B
363,38.2,C,C
364,38.3,C,D
365,38.4,A,C
366,38.5,BC,ABC
367,38.6,C,B
368,38.7,B,D
369,38.8,D,D
370,38.9,B,C
371,39.1,BC,BC
372,39.2,B,D
373,39.3,D,D
374,39.4,B,B
375,39.5,AB,AC
376,39.6,C,A
377,39.7,C,C
378,39.8,C,A
379,39.9,BC,BC
380,39.10,B,B
381,40.1,ABCD,ACD
382,40.2,B,D
383,40.3,B,B
384,40.4,BCD,AD
385,40.5,BCD,AD
386,40.6,B,B
387,40.7,D,ACD
388,40.8,C,C
389,40.9,D,D
390,40.10,BC,ABC
391,41.1,B,D
392,41.2,B,ABCD
393,41.3,B,A
394,41.4,C,C
395,41.5,D,C
396,41.6,C,AC
397,41.7,BD,AC
398,41.8,B,A
399,41.9,BC,ACD
400,41.10,C,B
401,42.1,BD,AD
402,42.2,A,ABD
403,42.3,B,B
404,42.4,B,C
405,42.5,D,D
406,42.6,D,C
407,42.7,D,C
408,42.8,B,D
409,42.9,D,B
410,42.10,B,B
411,42.11,D,B
412,42.12,B,B
413,42.13,B,D
414,42.14,D,D
415,42.15,BD,BCD
416,43.1,BD,BCD
417,43.2,BC,ACD
418,43.3,B,B
419,43.4,C,C
420,43.5,C,C
421,43.6,AB,ABCD
422,43.7,B,C
423,43.8,C,D
424,43.9,AB,ABD
425,43.10,BC,BD
426,44.1,B,D
427,44.2,BC,ABC
428,44.3,B,B
429,44.4,BC,BC
430,44.5,D,ABD
431,44.6,B,D
432,44.7,B,B
433,44.8,AB,BCD
434,45.1,B,BC
435,45.2,D,A
436,45.3,AD,ACD
437,45.4,D,D
438,45.5,BD,ABCD
439,45.6,B,C
440,45.7,BC,ABC
441,45.8,BC,AC
442,45.9,CD,ACD
443,45.10,AB,ABD
444,46.1,C,C
445,46.2,B,C
446,46.3,B,A
447,46.4,C,B
448,46.5,B,B
449,46.6,B,D
450,46.7,B,AB
451,46.8,B,D
452,46.9,ABD,ABC
453,46.10,C,C
454,47.1,BD,ABD
455,47.2,D,C
456,47.3,BC,AC
457,47.4,BD,ABD
458,47.5,B,C
459,47.6,B,A
460,47.7,C,D
461,,测评最终结果,共47道大题，460道具体题目。其中，116题完全正确，114题部分正确，230题多选或错选，0题未答或漏答。严格正确率：25.217391304347824%，弹性正确率：37.989130434782595%
