,模型答案,真实答案
375,ABCD,ABC
376,AD,ABD
377,D,AC
378,C,ABCD
379,ABCD,ABCD
380,CDB,ACD
381,ABC,ABC
382,BCD,BCD
383,AD,ABCD
384,C,ABC
385,D,BCD
386,D,ABD
387,BCD,ACD
388,C,BCD
389,D,ACD
390,B,BD
391,ABCD,BCD
392,ABCD,AD
393,ABCD,ABCD
394,BD,ABD
395,ABCD,ABCD
396,A,ABCD
397,C,AC
398,D,ABD
399,C,BC
400,ABC,ACD
401,D,BC
402,ABCD,AC
403,D,BCD
404,C,ABC
405,ABCD,ABC
406,ACD,ABCD
407,ABCD,AD
408,ABCD,AC
409,D,AD
410,B,ABD
411,D,BCD
412,C,ABD
413,D,AB
414,B,ABC
415,D,BD
416,AD,ACD
417,C,ABCD
418,D,ABCD
419,ABC,ABC
420,ABD,AB
421,C,BD
422,D,CD
423,B,BC
424,BC,BC
425,ABCD,ABCD
426,D,ABD
427,BCD,ABC
428,C,ACD
429,B,AB
430,ABD,BD
431,D,BC
432,D,ABCD
433,D,AB
434,C,BC
435,ABD,ABCD
436,CABD,ABC
437,ABCD,ABCD
438,D,BCD
439,D,ACD
440,ACD,ACD
441,ACD,ACD
442,C,BCD
443,B,AC
444,C,BD
445,ACD,ACD
446,ABD,ABD
447,BCD,BCD
448,ABCD,ABCD
449,ABCD,ABCD
450,D,ACD
451,D,ABCD
452,D,BCD
453,ABCD,ABCD
454,ABCD,BCD
455,ABCD,ABD
456,BCD,CD
457,D,ABCD
458,ABCD,ABD
459,ABCD,ACD
460,ABCD,ABD
461,ABCD,ABCD
462,ABCD,ABCD
463,ABCD,AD
464,C,BCD
465,C,ABCD
466,C,BC
467,ACD,ABCD
468,D,BD
469,C,BCD
470,B,AB
471,ABCD,BCD
472,ABCD,ABD
473,ABC,ABC
474,A,AD
475,CDB,BCD
476,CDB,BCD
477,D,BCD
478,C,ABC
479,B,ABCD
480,ABC,BCD
481,D,ACD
482,ABCD,BCD
483,BCD,BCD
484,ABC,ABCD
485,ABCD,ABCD
486,ABCD,ABD
487,BC,ABCD
488,ABCD,BC
489,ABCD,ABC
490,ABCD,ACD
491,ABCD,CD
492,ABCD,AD
493,ABCD,ABCD
494,ABC,BCD
495,C,CD
496,ABCD,AD
497,ABCD,
498,ABCD,ABD
499,ABCD,CD
500,ABCD,ABCD
501,ABCD,ABD
502,B,BC
503,C,ABD
504,A,ABC
505,BCD,BCD
506,D,CD
507,B,ABCD
508,A,BD
509,A,ABD
510,ABC,ABC
511,D,ACD
512,D,CD
513,ABD,ABD
514,B,BC
515,C,ABC
516,D,ABD
517,B,AB
518,D,BD
519,BCD,BC
520,C,ABD
521,D,AC
522,A,B
523,AB,AB
524,ABCD,ABCD
525,A,ACD
526,A,A
527,A,AB
528,B,B
529,ABCD,ABCD
530,C,AC
531,C,ABC
532,C,AB
533,D,AC
534,B,BC
535,D,ABCD
536,ABCD,AB
537,AC,AC
538,B,ABD
539,D,BCD
540,C,ABCD
541,D,AC
542,C,ABC
543,ABC,ABC
544,A,ABC
545,C,BCD
546,ABC,ABC
547,ABCD,ABD
548,C,AC
549,D,BCD
550,ABCD,ABCD
551,B,AB
552,C,CD
553,ABCD,ABC
554,CBA,ABC
555,ABCD,BCD
556,D,ABCD
557,D,ABCD
558,BCD,BCD
559,CD,ACD
560,D,BCD
561,ACD,AC
562,C,AC
563,AC,AC
564,D,ABD
565,AB,ABD
566,C,ACD
567,A,AC
568,B,BC
569,BC,BC
570,D,BC
571,ABCD,ABCD
572,D,ACD
573,D,BCD
574,A,AD
575,BCD,ABCD
576,D,ABD
577,D,ABD
578,D,ABCD
579,CD,BCD
580,ABC,ABC
581,A,AD
582,C,ABC
583,D,BCD
584,BC,ABCD
585,C,ABCD
586,B,ABC
587,C,ABCD
588,测评最终结果,共587题，90题完全正确，346题部分正确，151题多选或错选。严格正确率：15.332197614991482%，弹性正确率：40.388983532084104%
