,模型答案,真实答案
198,ABCD,ABC
199,ABCD,AD
200,ABCD,AC
201,ABCD,ABC
202,ABCD,ABC
203,ABCD,AC
204,AC,ABC
205,A,BC
206,ABCD,AB
207,ABCD,AC
208,ABCD,AB
209,ABCD,ACD
210,ABCD,AC
211,ABCD,ABCD
212,ABCD,BD
213,ABCD,AB
214,ABCD,BCD
215,ABCD,ABC
216,ABCD,ABCD
217,ABCD,AC
218,ABCD,BCD
219,ABC,ACD
220,ABCD,ACD
221,ABCD,AC
222,ABCD,AB
223,ABCD,AB
224,ABCD,ACD
225,ABCD,AC
226,ABCD,AC
227,ABCD,ABD
228,ABCD,ABD
229,ABCD,BC
230,ABC,ABC
231,ABCD,AD
232,ABCD,ABC
233,ABCD,ABD
234,ABCD,BC
235,ABCD,ABC
236,ABCD,BC
237,ABCD,BD
238,ABCD,AC
239,AC,ABCD
240,ABCD,ABC
241,ABCD,AD
242,ABCD,ACD
243,ABCD,ACD
244,ABC,AC
245,ABCD,ACD
246,ABCD,AD
247,ABCD,ABCD
248,ABCD,ABCD
249,ABCD,AC
250,ABCD,ABCD
251,ABCD,BCD
252,ABC,ACD
253,ABCD,BCD
254,ABCD,ABC
255,ABCD,ABCD
256,ABCD,ABC
257,ABCD,BCD
258,ABCD,AC
259,ABCD,ACD
260,ABCD,AC
261,ABCD,ABCD
262,ABCD,ACD
263,ABC,ABCD
264,ABCD,ACD
265,ABC,BD
266,ABCD,ACD
267,ABC,ABC
268,ABCD,BCD
269,ABCD,AC
270,ABCD,BCD
271,ABCD,ABD
272,ABCD,BD
273,ABCD,BC
274,ABCD,AB
275,ABCD,ABD
276,AC,ACD
277,ABCD,CD
278,ABCD,ABC
279,ABCD,AC
280,ABCD,ACD
281,ABCD,ACD
282,ABCD,ABCD
283,ABCD,ABC
284,ABCD,BC
285,ABCD,ABC
286,ABCD,BCD
287,ABCD,AB
288,ABCD,ABD
289,ABCD,ABCD
290,ABCD,BCD
291,ABCD,ABCD
292,ABCD,ABC
293,ABCD,BCD
294,ABCD,ACD
295,ABCD,ABC
296,ABCD,ABC
297,ABCD,AB
298,ABCD,AD
299,ABC,BC
300,ABCD,AC
301,ABC,BCD
302,ABCD,ABCD
303,ABC,AC
304,ABCD,BC
305,ABCD,ACD
306,ABC,BC
307,ABCD,BD
308,ABCD,AB
309,ABCD,CD
310,ABCD,ABC
311,ABCD,BC
312,ABCD,ABC
313,ABCD,ACD
314,B,BD
315,ABCD,ACD
316,ABCD,ABC
317,ABCD,BCD
318,ABCD,ABCD
319,ABCD,ABC
320,ABCD,AC
321,ABCD,AD
322,ABCD,BC
323,ABCD,BC
324,ABC,ABCD
325,ABCD,ACD
326,ABC,AD
327,ABCD,ABCD
328,ABCD,ABD
329,ABC,BCD
330,ABCD,BC
331,ABCD,AC
332,ABCD,BCD
333,ABCD,BD
334,ABCD,ACD
335,ABCD,ABCD
336,ABCD,AB
337,ABCD,ABC
338,ABC,AC
339,ABCD,ABD
340,ABCD,ACD
341,ABCD,ABC
342,ABC,BCD
343,ABCD,ABD
344,ABCD,ABCD
345,ABCD,ABC
346,ABCD,ABCD
347,ABCD,BCD
348,ABCD,BCD
349,A,ACD
350,ABCD,ABCD
351,ABCD,CD
352,ABCD,ABD
353,AC,ABC
354,ABCD,AC
355,ABC,AC
356,ABCD,ABCD
357,ABCD,BCD
358,ABCD,ACD
359,ABCD,ABD
360,ABCD,ABC
361,ABCD,BCD
362,ABCD,ABC
363,ABCD,CD
364,ABC,AB
365,ABCD,CD
366,B,ABCD
367,ABCD,BCD
368,AC,ABD
369,ABCD,AC
370,ABCD,BC
371,ABCD,ABD
372,ABCD,ABCD
373,ABCD,ABC
374,ABCD,BCD
375,ABCD,ABC
376,ABCD,ABD
377,ABC,AC
378,ABC,ABCD
379,ABCD,ABCD
380,ABCD,ACD
381,ABC,ABC
382,ABC,BCD
383,ABC,ABCD
384,ABCD,ABC
385,ABCD,BCD
386,ABCD,ABD
387,ABCD,ACD
388,ABCD,BCD
389,ABCD,ACD
390,A,BD
391,ABC,BCD
392,ABCD,AD
393,ABCD,ABCD
394,ABCD,ABD
395,ABCD,ABCD
396,ABCD,ABCD
397,ABCD,AC
398,ABCD,ABD
399,ABC,BC
400,ABCD,ACD
401,ABCD,BC
402,ABCD,AC
403,ABCD,BCD
404,ABC,ABC
405,ABCD,ABC
406,AC,ABCD
407,ABCD,AD
408,AC,AC
409,ABCD,AD
410,ABCD,ABD
411,ABCD,BCD
412,ABCD,ABD
413,AC,AB
414,ABC,ABC
415,ABCD,BD
416,AC,ACD
417,ABCD,ABCD
418,ABCD,ABCD
419,ABCD,ABC
420,ABCD,AB
421,ABC,BD
422,ABCD,CD
423,ABC,BC
424,ABCD,BC
425,ABCD,ABCD
426,ABCD,ABD
427,ABC,ABC
428,ABCD,ACD
429,ABCD,AB
430,ABCD,BD
431,ABCD,BC
432,ABCD,ABCD
433,ABCD,AB
434,ABCD,BC
435,ABCD,ABCD
436,ABCD,ABC
437,ABCD,ABCD
438,ABCD,BCD
439,ABCD,ACD
440,ABCD,ACD
441,B,ACD
442,ABCD,BCD
443,ABCD,AC
444,ABCD,BD
445,ABCD,ACD
446,ABCD,ABD
447,ABC,BCD
448,ABCD,ABCD
449,ABC,ABCD
450,ABC,ACD
451,ABCD,ABCD
452,ABCD,BCD
453,A,ABCD
454,ABCD,BCD
455,ABC,ABD
456,ABCD,CD
457,ABCD,ABCD
458,ABCD,ABD
459,AC,ACD
460,ABCD,ABD
461,ABC,ABCD
462,ABCD,ABCD
463,ABCD,AD
464,ABCD,BCD
465,ABCD,ABCD
466,ABCD,BC
467,ABCD,ABCD
468,ABCD,BD
469,A,BCD
470,A,AB
471,ABC,BCD
472,ABCD,ABD
473,ABCD,ABC
474,ABCD,AD
475,AC,BCD
476,ABCD,BCD
477,ABC,BCD
478,ABCD,ABC
479,A,ABCD
480,AC,BCD
481,AC,ACD
482,ABCD,BCD
483,ABCD,BCD
484,ABCD,ABCD
485,ABCD,ABCD
486,AC,ABD
487,ABC,ABCD
488,A,BC
489,ABCD,ABC
490,ABCD,ACD
491,ABCD,CD
492,AC,AD
493,A,ABCD
494,ABCD,BCD
495,AC,CD
496,A,AD
497,ABCD,
498,ABC,ABD
499,C,CD
500,A,ABCD
501,A,ABD
502,ABC,BC
503,ABCD,ABD
504,ABCD,ABC
505,AC,BCD
506,AC,CD
507,ABC,ABCD
508,ABC,BD
509,B,ABD
510,AC,ABC
511,ABCD,ACD
512,ABCD,CD
513,ABCD,ABD
514,ABCD,BC
515,ABC,ABC
516,AC,ABD
517,ABCD,AB
518,ABCD,BD
519,ABCD,BC
520,ABCD,ABD
521,ABCD,AC
522,A,B
523,ABCD,AB
524,ABCD,ABCD
525,ABCD,ACD
526,ABCD,A
527,A,AB
528,ABCD,B
529,ABCD,ABCD
530,AC,AC
531,ABCD,ABC
532,ABCD,AB
533,ABCD,AC
534,ABCD,BC
535,ABCD,ABCD
536,ABCD,AB
537,ABCD,AC
538,ABCD,ABD
539,ABC,BCD
540,ABCD,ABCD
541,ABC,AC
542,ABCD,ABC
543,ABCD,ABC
544,ABCD,ABC
545,ABCD,BCD
546,ABC,ABC
547,ABCD,ABD
548,ABCD,AC
549,ABCD,BCD
550,AC,ABCD
551,B,AB
552,C,CD
553,ABCD,ABC
554,ABCD,ABC
555,ABCD,BCD
556,ABCD,ABCD
557,ABCD,ABCD
558,ABCD,BCD
559,ABCD,ACD
560,ABCD,BCD
561,AC,AC
562,ABCD,AC
563,ABCD,AC
564,ABCD,ABD
565,ABC,ABD
566,ABCD,ACD
567,ABC,AC
568,ABCD,BC
569,ABCD,BC
570,ABCD,BC
571,ABC,ABCD
572,ABC,ACD
573,ABCD,BCD
574,ABCD,AD
575,ABCD,ABCD
576,A,ABD
577,ABC,ABD
578,ABC,ABCD
579,ABC,BCD
580,ABC,ABC
581,ABCD,AD
582,ABCD,ABC
583,ABC,BCD
584,ABCD,ABCD
585,ABCD,ABCD
586,ABCD,ABC
587,ABCD,ABCD
588,测评最终结果,共587题，83题完全正确，40题部分正确，464题多选或错选。严格正确率：14.139693356047701%，弹性正确率：17.88756388415673%
