,模型答案,真实答案
473,B,ABC
474,D,AD
475,C,BCD
476,BCD,BCD
477,D,BCD
478,B,ABC
479,D,ABCD
480,ABCD,BCD
481,A,ACD
482,BCD,BCD
483,BCD,BCD
484,A,ABCD
485,A,ABCD
486,D,ABD
487,B,ABCD
488,A,BC
489,A,ABC
490,BCD,ACD
491,BCD,CD
492,B,AD
493,D,ABCD
494,BCD,BCD
495,C,CD
496,A,AD
497,D,
498,A,ABD
499,ABCD,CD
500,ACD,ABCD
501,BCD,ABD
502,B,BC
503,A,ABD
504,A,ABC
505,BCD,BCD
506,D,CD
507,B,ABCD
508,D,BD
509,B,ABD
510,C,ABC
511,B,ACD
512,D,CD
513,B,ABD
514,B,BC
515,C,ABC
516,BCD,ABD
517,A,AB
518,C,BD
519,BCD,BC
520,C,ABD
521,A,AC
522,A,B
523,B,AB
524,D,ABCD
525,A,ACD
526,A,A
527,A,AB
528,B,B
529,A,ABCD
530,A,AC
531,A,ABC
532,A,AB
533,A,AC
534,B,BC
535,ACD,ABCD
536,B,AB
537,C,AC
538,B,ABD
539,D,BCD
540,C,ABCD
541,D,AC
542,C,ABC
543,A,ABC
544,A,ABC
545,BCD,BCD
546,B,ABC
547,A,ABD
548,B,AC
549,D,BCD
550,ACD,ABCD
551,B,AB
552,B,CD
553,A,ABC
554,C,ABC
555,A,BCD
556,D,ABCD
557,A,ABCD
558,BCD,BCD
559,D,ACD
560,B,BCD
561,ACD,AC
562,A,AC
563,B,AC
564,D,ABD
565,B,ABD
566,C,ACD
567,A,AC
568,B,BC
569,B,BC
570,D,BC
571,ACD,ABCD
572,D,ACD
573,B,BCD
574,A,AD
575,BCD,ABCD
576,D,ABD
577,A,ABD
578,A,ABCD
579,BCD,BCD
580,B,ABC
581,D,AD
582,A,ABC
583,B,BCD
584,B,ABCD
585,B,ABCD
586,B,ABC
587,A,ABCD
588,测评最终结果,共587题，42题完全正确，406题部分正确，139题多选或错选。严格正确率：7.155025553662692%，弹性正确率：34.98012492901768%
