,模型答案,真实答案
473,B,ABC
474,D,AD
475,C,BCD
476,BCD,BCD
477,C,BCD
478,B,ABC
479,D,ABCD
480,ABCD,BCD
481,A,ACD
482,BCD,BCD
483,BCD,BCD
484,A,ABCD
485,A,ABCD
486,D,ABD
487,B,ABCD
488,A,BC
489,A,ABC
490,BCD,ACD
491,BCD,CD
492,B,AD
493,D,ABCD
494,BCD,BCD
495,C,CD
496,A,AD
497,D,
498,A,ABD
499,ABCD,CD
500,ACD,ABCD
501,BCD,ABD
502,B,BC
503,A,ABD
504,A,ABC
505,BCD,BCD
506,D,CD
507,B,ABCD
508,D,BD
509,B,ABD
510,C,ABC
511,B,ACD
512,D,CD
513,B,ABD
514,B,BC
515,C,ABC
516,BCD,ABD
517,A,AB
518,C,BD
519,BCD,BC
520,C,ABD
521,A,AC
522,A,B
523,B,AB
524,D,ABCD
525,A,ACD
526,A,A
527,A,AB
528,B,B
529,A,ABCD
530,A,AC
531,A,ABC
532,A,AB
533,A,AC
534,B,BC
535,ACD,ABCD
536,B,AB
537,C,AC
538,B,ABD
539,D,BCD
540,C,ABCD
541,D,AC
542,C,ABC
543,A,ABC
544,A,ABC
545,BCD,BCD
546,B,ABC
547,A,ABD
548,B,AC
549,D,BCD
550,ACD,ABCD
551,B,AB
552,B,CD
553,A,ABC
554,C,ABC
555,A,BCD
556,D,ABCD
557,A,ABCD
558,BCD,BCD
559,D,ACD
560,B,BCD
561,ACD,AC
562,A,AC
563,B,AC
564,D,ABD
565,B,ABD
566,C,ACD
567,A,AC
568,B,BC
569,B,BC
570,D,BC
571,ACD,ABCD
572,D,ACD
573,B,BCD
574,A,AD
575,BCD,ABCD
576,D,ABD
577,A,ABD
578,A,ABCD
579,BCD,BCD
580,B,ABC
581,D,AD
582,A,ABC
583,B,BCD
584,B,ABCD
585,B,ABCD
586,B,ABC
587,A,ABCD
588,C,AC
589,D,ABD
590,A,ACD
591,B,AC
592,B,BC
593,B,AB
594,A,AB
595,B,BCD
596,D,BC
597,B,AD
598,B,AB
599,B,AB
600,A,ABCD
601,B,ABC
602,A,ABC
603,D,BC
604,D,ABCD
605,D,ABD
606,BCD,ABCD
607,A,BC
608,D,ABD
609,B,BC
610,B,BD
611,D,AC
612,B,ABD
613,BCD,BCD
614,B,BCD
615,B,ABC
616,A,ABC
617,D,ABCD
618,A,AD
619,D,AC
620,D,AD
621,D,ABD
622,A,AB
623,D,ABC
624,D,ABD
625,B,CD
626,D,ABD
627,B,ABCD
628,ABCD,BD
629,C,CD
630,D,ABD
631,A,ABC
632,D,ACD
633,ACD,ACD
634,B,BD
635,A,ABD
636,A,ABD
637,A,ABCD
638,A,ABD
639,D,ACD
640,B,BD
641,D,ABC
642,A,ABD
643,D,BCD
644,B,BCD
645,D,ABCD
646,D,AC
647,A,AB
648,A,ACD
649,C,ABC
650,D,AD
651,D,ABCD
652,A,AC
653,B,ABD
654,A,ABCD
655,A,ABC
656,A,ACD
657,A,ABC
658,A,BCD
659,B,CD
660,C,ABC
661,A,ABCD
662,A,AC
663,D,AD
664,B,BCD
665,D,ABD
666,A,ABC
667,ABCD,CD
668,ACD,ACD
669,BCD,AC
670,ACD,ACD
671,BCD,BCD
672,BCD,BC
673,BCD,ABC
674,BCD,BCD
675,A,BD
676,A,AB
677,D,BC
678,B,ABC
679,A,AB
680,BCD,BCD
681,A,AD
682,BCD,BC
683,BCD,ABC
684,B,BC
685,D,ABCD
686,D,ABD
687,B,AB
688,D,BCD
689,A,ABCD
690,B,ABC
691,D,CD
692,B,BCD
693,BCD,AB
694,A,BC
695,ACD,ACD
696,D,ACD
697,A,BCD
698,B,ABD
699,A,BD
700,D,ABD
701,C,AC
702,B,AB
703,ACD,ACD
704,D,CD
705,D,AD
706,A,AC
707,A,BC
708,A,AC
709,A,ABCD
710,A,AD
711,B,AB
712,B,BC
713,A,ABC
714,A,ABC
715,ABCD,ABCD
716,B,ABC
717,BCD,CD
718,A,ABD
719,C,AC
720,B,ABC
721,D,BCD
722,C,CD
723,A,ABD
724,D,ACD
725,BCD,ABC
726,C,BC
727,ACD,ACD
728,B,BD
729,B,BC
730,A,ABD
731,D,BCD
732,D,BD
733,BCD,BCD
734,C,BCD
735,A,ABCD
736,D,AB
737,B,AD
738,C,ACD
739,B,ABD
740,C,ABC
741,D,ACD
742,ACD,ABC
743,A,ACD
744,A,CD
745,D,ABCD
746,B,AC
747,B,ABC
748,ACD,ABCD
749,A,AD
750,ABCD,ABC
751,A,ACD
752,D,AB
753,A,ABD
754,A,ABC
755,D,ABCD
756,B,BD
757,C,AC
758,A,ABCD
759,B,ABC
760,D,ACD
761,D,AC
762,A,ABC
763,D,ABCD
764,D,ABC
765,B,AC
766,A,ABCD
767,A,ABCD
768,ABCD,ABCD
769,D,ABC
770,A,ACD
771,CD,BCD
772,ACD,CD
773,D,BD
774,B,ABC
775,B,AB
776,B,ABC
777,A,ABCD
778,BCD,AC
779,C,ACD
780,ABCD,ABCD
781,D,ABC
782,C,AB
783,B,ABD
784,ACD,ACD
785,C,BCD
786,B,AB
787,A,CD
788,B,AB
789,C,AC
790,ACD,ABD
791,B,BD
792,A,BC
793,C,BD
794,A,AC
795,A,BC
796,BCD,AC
797,D,ABD
798,D,ABD
799,BCD,AB
800,ABD,AB
801,D,CD
802,B,CD
803,A,ABC
804,B,BC
805,B,AB
806,C,AC
807,A,ABC
808,D,BCD
809,B,BD
810,B,BC
811,D,ABCD
812,D,CD
813,D,BD
814,C,BCD
815,A,ABD
816,A,AB
817,BCD,ABC
818,D,ABC
819,A,AD
820,D,ABD
821,D,AD
822,A,AC
823,D,ABC
824,D,BCD
825,B,AB
826,B,ABD
827,B,CD
828,测评最终结果,共827题，57题完全正确，574题部分正确，196题多选或错选。严格正确率：6.892382103990327%，弹性正确率：34.613059250302335%
